river,year,intensité
"Prairies, Rivière des",2018,
"Prairies, Rivière des",2019,
"Richelieu, Rivière",2011,231668.7528
"Richelieu, Rivière",2012,129121.6742
"Richelieu, Rivière",2013,74218.41226
"Richelieu, Rivière",2014,158187.9642
"Richelieu, Rivière",2015,105112.12
"Richelieu, Rivière",2016,153704.7022
"Richelieu, Rivière",2017,248547.9955
"Richelieu, Rivière",2018,
"Richelieu, Rivière",2019,
"Rivière Bayonne, Branche de la",2011,111892.9116
"Rivière Bayonne, Branche de la",2012,83700.62698
"Rivière Bayonne, Branche de la",2013,71688.56033
"Rivière Bayonne, Branche de la",2014,70227.70745
"Rivière Bayonne, Branche de la",2015,48344.05629
"Rivière Bayonne, Branche de la",2016,88528.74296
"Rivière Bayonne, Branche de la",2017,71126.73504
"Rivière Bayonne, Branche de la",2018,
"Rivière Bayonne, Branche de la",2019,
"Saguenay, Rivière",2011,45492.28386
"Saguenay, Rivière",2012,74380.8542
"Saguenay, Rivière",2013,34899.21195
"Saguenay, Rivière",2014,49050.12283
"Saguenay, Rivière",2015,26840.00874
"Saguenay, Rivière",2016,54186.80675
"Saguenay, Rivière",2017,72722.91574
"Saguenay, Rivière",2018,
"Saguenay, Rivière",2019,
"Saint-François, Rivière",2011,80258.5564
"Saint-François, Rivière",2012,32053.95185
"Saint-François, Rivière",2013,65379.17875
"Saint-François, Rivière",2014,75658.23339
"Saint-François, Rivière",2015,35946.32677
"Saint-François, Rivière",2016,47658.79031
"Saint-François, Rivière",2017,49213.43248
"Saint-François, Rivière",2018,
"Saint-François, Rivière",2019,
"Saint-Ignace, Chenal",2011,59247.60097
"Saint-Ignace, Chenal",2012,89814.88013
"Saint-Ignace, Chenal",2013,85795.72202
"Saint-Ignace, Chenal",2014,83755.27811
"Saint-Ignace, Chenal",2015,43959.07345
"Saint-Ignace, Chenal",2016,27668.61376
"Saint-Ignace, Chenal",2017,35254.76916
"Saint-Ignace, Chenal",2018,
"Saint-Ignace, Chenal",2019,
"Saint-Jean, Lac",2011,49654.13604
"Saint-Jean, Lac",2012,85666.66841
"Saint-Jean, Lac",2013,43878.17693
"Saint-Jean, Lac",2014,68691.68905
"Saint-Jean, Lac",2015,40065.26124
"Saint-Jean, Lac",2016,77524.96269
"Saint-Jean, Lac",2017,119890.2493
"Saint-Jean, Lac",2018,
"Saint-Jean, Lac",2019,
"Saint-Laurent, Fleuve",2011,198384.1241
"Saint-Laurent, Fleuve",2012,123928.5741
"Saint-Laurent, Fleuve",2013,153180.9377
"Saint-Laurent, Fleuve",2014,171852.9845
"Saint-Laurent, Fleuve",2015,189299.1379
"Saint-Laurent, Fleuve",2016,155588.7267
"Saint-Laurent, Fleuve",2017,547800.7772
"Saint-Laurent, Fleuve",2018,
"Saint-Laurent, Fleuve",2019,
"Saint-Laurent, Golfe du",2011,40480.64132
"Saint-Laurent, Golfe du",2012,22375.98182
"Saint-Laurent, Golfe du",2013,43765.61635
"Saint-Laurent, Golfe du",2014,48426.94663
"Saint-Laurent, Golfe du",2015,62322.22365
"Saint-Laurent, Golfe du",2016,23530.4686
"Saint-Laurent, Golfe du",2017,6308.804805
"Saint-Laurent, Golfe du",2018,
"Saint-Laurent, Golfe du",2019,
"Saint-Louis, Lac",2011,28879.59376
"Saint-Louis, Lac",2012,22310.35946
"Saint-Louis, Lac",2013,20634.59942
"Saint-Louis, Lac",2014,48862.58291
"Saint-Louis, Lac",2015,10656.99421
"Saint-Louis, Lac",2016,18952.32466
"Saint-Louis, Lac",2017,75306.02196
"Saint-Louis, Lac",2018,
"Saint-Louis, Lac",2019,
"Saint-Maurice, Rivière",2011,2978.37353
"Saint-Maurice, Rivière",2012,1896.123
"Saint-Maurice, Rivière",2013,4327.5367
"Saint-Maurice, Rivière",2014,8718.082018
"Saint-Maurice, Rivière",2015,5112.562409
"Saint-Maurice, Rivière",2016,43220.37418
"Saint-Maurice, Rivière",2017,155374.6003
"Saint-Maurice, Rivière",2018,
"Saint-Maurice, Rivière",2019,
"Shawinigan, Rivière",2011,84542.95811
"Shawinigan, Rivière",2012,61478.78136
"Shawinigan, Rivière",2013,78953.59169
"Shawinigan, Rivière",2014,57410.1641
"Shawinigan, Rivière",2015,34725.46202
"Shawinigan, Rivière",2016,32236.6658
"Shawinigan, Rivière",2017,257800.5764
"Shawinigan, Rivière",2018,
"Shawinigan, Rivière",2019,
"Yamaska Nord, Rivière",2011,179185.757
"Yamaska Nord, Rivière",2012,75218.73143
"Yamaska Nord, Rivière",2013,120862.8049
"Yamaska Nord, Rivière",2014,149445.2544
"Yamaska Nord, Rivière",2015,82787.87831
"Yamaska Nord, Rivière",2016,66075.62867
"Yamaska Nord, Rivière",2017,334306.585
"Yamaska Nord, Rivière",2018,
"Yamaska Nord, Rivière",2019,
"Yamaska, Rivière",2011,32842.16997
"Yamaska, Rivière",2012,26792.27061
"Yamaska, Rivière",2013,21221.26915
"Yamaska, Rivière",2014,22862.37045
"Yamaska, Rivière",2015,18396.46037
"Yamaska, Rivière",2016,21664.974
"Yamaska, Rivière",2017,450942.5312
"Yamaska, Rivière",2018,
"Yamaska, Rivière",2019,
